0,0,---,---
56,0,1488993065,#BTS #art<br><br>cr. debrenner
36,1,1488992930,#BTS<br><br>cr. kths
51,0,1488992713,#BTS<br><br>happy birthday yoongi! ♡<br><br>cr. parkejimins
26,1,1488992560,#BTS<br><br>cr. apgujeon
61,3,1488968324,"#EXO<br><br>Джейден: ""Дружище, можно с тобой сфотографироваться???""<br>Сехун: ""Да нет проблем""<br>Джейден: ""Ооо, так круто, хен""<br>Сехун: <br>Джейден: ""Я большой поклонник творчества Big Bang и люблю то, что вы делаете. Пожалуйста, скажите GD, что я готов к своему дебюту""<br><br>cr. sammymunchiecheerios"
46,0,1488963172,"#BTS<br><br>Хосок: ""Ребят, я не знал, что наша песня настолько длинная""<br>Юнги: ""Это душит меня. Я не мог сказать это во время выступления.""<br>Джин: ""Песня такая длиннющая!""<br>Юнги: ""Очень долго. Это меня душит. Я думал, что она длится 3.5 минут, а на деле 4.5""<br><br>cr. beui"
59,3,1488891722,#BTS<br><br>cr. kths
56,0,1488891680,"#BTS<br><br>главные мотиваторы команды<br><br>Шуга: ""Наши команды решили, что мы разделимся на макне-лайн и хен-лайн.""<br>[Надпись: сплошная неуверенность]<br>Рэпмон: ""Да мы так делали много раз.""<br>Джин: ""Верно. Очень много.""<br>Рэпмон: ""И все время проигрывали""<br><br>cr. sweaterpawsjimin"
33,0,1488866736,#EXO<br><br>*0*<br><br>cr. kaibility
108,2,1488866574,#BTS<br><br>cr. allthingstaekook
72,1,1488866570,#BTS<br><br>Hobi + Finger heart<br><br>cr. rapnamu
78,1,1488866402,#BTS<br><br>cr. knrapmon
82,0,1488865981,#BTS<br><br>Taehyung in all black<br><br>cr. lilacnamjoon
89,0,1488865533,#BTS<br><br>просто отдельным постом...<br><br>cr. mianhae-baozi
51,3,1488865435,#BTS<br><br>Maknae line + Choreography <br><br>cr. delightfullyfree95
14,0,1488784538,#deerzone_news #dynamic_duo #amoeba_culture<br><br>Choiza из Dynamic Duo и бывшая участница f(x) Sulli расстались после 2 лет и 7 месяцев отношений!<br><br>SM и Amoeba подтвердили эту новость!<br>------------------------------------------<br>Label - Amoeba Culture <br>------------------------------------------
73,2,1488777595,#BTS<br><br>cr. lilchubchim
74,3,1488777497,#BTS<br><br>J-Hope in all black<br><br>cr. lilacnamjoon
62,1,1488777454,#BTS<br><br>cr. yoonmin
49,0,1488777449,#EXO<br><br>cr. smhsehun
20,2,1488689844,#EXO<br><br>EXO 141120 The Lost Planet in Tokyo <br> <br>EXO 151108 The EXO’luXion in Tokyo<br><br>cr. mjybjckjs
129,3,1488689573,#BTS<br><br>Jimin in all black<br><br>cr. lilacnamjoon
67,0,1488619450,#BTS<br><br>cr. adelio
49,0,1488564960,#BTS
61,1,1488535816,#EXO #Sehun #Luhan<br><br>- Bad twins -<br><br>cr. ingrid-xiaolu
82,1,1488535340,#BTS<br><br>cr. truetaehyung
75,2,1488535111,"#BTS<br><br>[миссия Чимина: Спеть ""Spring Day"" после вдыхания гелия]<br>Чимин: [мило поет свою партию]<br>Шуга: ""Разве это не обычный голос Чимина?""<br><br>cr. apgujeon"
41,0,1488534821,#BTS<br><br>cr. booptae
86,3,1488534769,"#BTS<br><br>будь осторожнее со своими поцелуями, Чонгук хд<br><br>[миссия Чонгука: Показать 3 вида поцелуев]<br>Чонгук: [Милый поцелуй]<br>Чонгук: [Сексуальный поцелуй]<br>Чонгук: [Жесткий поцелуй]<br>Джей-Хоуп: [поражен, когда Чонгук практически ударяет его по лицу<br>Джей-Хоуп: ""Мой промоушен едва не закончился прямо здесь ...""<br>Чонгук [возвращается в режим макне]: ""Прости""<br><br>cr. jeonheart"
43,0,1488394137,#Got7 #jinyoung<br><br>🔥🔥🔥<br><br>cr. jypnior
40,0,1488393915,#Got7 #Yugyeom<br><br>❤<br><br>cr. wassereis
35,0,1488393806,"#Got7 #Jinyoung<br><br>Джинён: ""Я снимаю себя сейчас. В нынешнем мире камеры такие оснащенные. Фильтры заставляют все выглядеть безупречно. Ребята, не будьте одурачены тем, что показывает вам камера. Прекрасные вещи которые вы видите на экране становятся такими из-за камеры. Если вы увидите меня лично, то скорее подумаете, ""О! Значит вот так он выглядит?"". Приготовьтесь к тому что будете шокированы.""<br><br>cr. jypnior"
